seed,pair_id,sentence1,sentence2,ppl1,ppl2,lower_ppl,ppl_difference
42,1,అతను వెళ్ళాడు,అతను వెళ్ళారు,610470.4966020605,7920213.363852522,sentence1,7309742.867250462
42,2,ఆమె వచ్చింది,ఆమె వచ్చాడు,470111.51528046647,12395378.305176381,sentence1,11925266.789895914
42,3,నేను తింటున్నాను,నేను తిన్నాను,109.79260089022988,171.15368790469958,sentence1,61.3610870144697
42,4,రాముడు పుస్తకం చదివాడు,రాముడు పుస్తకాన్ని చదివాడు,1532.672611329812,2457.8098055928936,sentence1,925.1371942630815
42,5,నేను వెళ్ళాను,నేను వెళ్ళలేదు,426.72771705913095,1067.6142066669095,sentence1,640.8864896077785
42,6,నీవు వస్తావా,నీవు వస్తావు,4776.171384136964,5800.182407975435,sentence1,1024.0110238384714
42,7,మీరు రండి,నువ్వు రండి,13645.107123659633,9299.574475105068,sentence2,4345.532648554565
42,8,ఇంటికి వెళ్ళాను,ఇంటిలో వెళ్ళాను,129.99301975897842,1144.0013473595886,sentence1,1014.0083276006102
42,9,తీసుకొని వచ్చాడు,తీసుకొని వెళ్ళాడు,11789.748891635885,21705.33616516439,sentence1,9915.587273528505
42,10,చదువుతున్నాను,చదివాను,26799.113211899443,182.98871709041447,sentence2,26616.124494809028
123,1,అతను వెళ్ళాడు,అతను వెళ్ళారు,120427.24102786003,4752012.405519599,sentence1,4631585.164491739
123,2,ఆమె వచ్చింది,ఆమె వచ్చాడు,679728.7370226379,3586196.5061713215,sentence1,2906467.7691486836
123,3,నేను తింటున్నాను,నేను తిన్నాను,106.75591935094846,152.0404428526007,sentence1,45.284523501652245
123,4,రాముడు పుస్తకం చదివాడు,రాముడు పుస్తకాన్ని చదివాడు,1368.6067865800007,2329.978748398597,sentence1,961.3719618185962
123,5,నేను వెళ్ళాను,నేను వెళ్ళలేదు,191.93025548922085,2538.030722111046,sentence1,2346.100466621825
123,6,నీవు వస్తావా,నీవు వస్తావు,1914.9137915770511,2125.7146421851176,sentence1,210.8008506080664
123,7,మీరు రండి,నువ్వు రండి,8064.88348742299,3734.7323770198523,sentence2,4330.151110403138
123,8,ఇంటికి వెళ్ళాను,ఇంటిలో వెళ్ళాను,70.86346957944814,639.8288470543664,sentence1,568.9653774749182
123,9,తీసుకొని వచ్చాడు,తీసుకొని వెళ్ళాడు,19869.765553109675,13251.99392573416,sentence2,6617.771627375516
123,10,చదువుతున్నాను,చదివాను,331210.149800841,73.773644613583,sentence2,331136.37615622743
456,1,అతను వెళ్ళాడు,అతను వెళ్ళారు,118922.33251990327,3729441.9915116276,sentence1,3610519.6589917243
456,2,ఆమె వచ్చింది,ఆమె వచ్చాడు,135513.14956460483,1351011.9727806922,sentence1,1215498.8232160874
456,3,నేను తింటున్నాను,నేను తిన్నాను,351.8500026888833,374.37471438695843,sentence1,22.524711698075123
456,4,రాముడు పుస్తకం చదివాడు,రాముడు పుస్తకాన్ని చదివాడు,3663.7991706235002,6101.538283444876,sentence1,2437.7391128213753
456,5,నేను వెళ్ళాను,నేను వెళ్ళలేదు,295.81985509068414,1641.557717858727,sentence1,1345.737862768043
456,6,నీవు వస్తావా,నీవు వస్తావు,2636.1711586236197,3032.458465887047,sentence1,396.28730726342746
456,7,మీరు రండి,నువ్వు రండి,8912.908086185424,13793.856725038637,sentence1,4880.948638853213
