seed,curriculum_mode,run_name,training_time_seconds,final_train_loss,final_eval_loss,final_eval_perplexity,num_train_examples,num_val_examples,model_size_million,config,perplexity_eval_tokens,perplexity_calculated_at
42,True,curriculum_seed_42,7947.3916091918945,4.833180204657272,4.690638065338135,109.85264538352013,406932,2000,4.509184,"{'context_length': 128, 'batch_size': 4, 'gradient_accumulation': 8, 'num_epochs': 12, 'learning_rate': 0.0005, 'n_embd': 128, 'n_layer': 2, 'n_head': 2}",221041.0,
123,True,curriculum_seed_123,8602.809251308441,4.83670280418944,4.69078254699707,109.90998262048144,406932,2000,4.509184,"{'context_length': 128, 'batch_size': 4, 'gradient_accumulation': 8, 'num_epochs': 12, 'learning_rate': 0.0005, 'n_embd': 128, 'n_layer': 2, 'n_head': 2}",221041.0,2025-12-07 22:43:26
456,True,curriculum_seed_456,8309.935982942581,4.8357716548664085,4.690078258514404,,406932,2000,4.509184,"{'context_length': 128, 'batch_size': 4, 'gradient_accumulation': 8, 'num_epochs': 12, 'learning_rate': 0.0005, 'n_embd': 128, 'n_layer': 2, 'n_head': 2}",,
789,True,curriculum_seed_789,8308.671067237854,4.829614495886088,4.685892105102539,109.34702665068522,406932,2000,4.509184,"{'context_length': 128, 'batch_size': 4, 'gradient_accumulation': 8, 'num_epochs': 12, 'learning_rate': 0.0005, 'n_embd': 128, 'n_layer': 2, 'n_head': 2}",221041.0,2025-12-08 14:52:30
1011,True,curriculum_seed_1011,8305.2806122303,4.831177276198539,4.687660217285156,109.51880222403659,406932,2000,4.509184,"{'context_length': 128, 'batch_size': 4, 'gradient_accumulation': 8, 'num_epochs': 12, 'learning_rate': 0.0005, 'n_embd': 128, 'n_layer': 2, 'n_head': 2}",221041.0,2025-12-08 14:53:23
2024,True,curriculum_seed_2024,7848.499419212341,4.833190853970474,4.689758777618408,109.77978554187737,406932,2000,4.509184,"{'context_length': 128, 'batch_size': 4, 'gradient_accumulation': 8, 'num_epochs': 12, 'learning_rate': 0.0005, 'n_embd': 128, 'n_layer': 2, 'n_head': 2}",221041.0,2025-12-08 23:50:14
3035,True,curriculum_seed_3035,8218.53917646408,4.8382292526803505,4.680323123931885,108.74388246522379,406932,2000,4.509184,"{'context_length': 128, 'batch_size': 4, 'gradient_accumulation': 8, 'num_epochs': 12, 'learning_rate': 0.0005, 'n_embd': 128, 'n_layer': 2, 'n_head': 2}",221041.0,2025-12-09 05:11:40
4046,True,curriculum_seed_4046,8230.91780924797,4.835105906395814,4.687953472137451,109.58271098363159,406932,2000,4.509184,"{'context_length': 128, 'batch_size': 4, 'gradient_accumulation': 8, 'num_epochs': 12, 'learning_rate': 0.0005, 'n_embd': 128, 'n_layer': 2, 'n_head': 2}",221041.0,2025-12-09 08:18:51
5057,True,curriculum_seed_5057,9606.113414049149,4.834263554681356,4.688873767852783,109.701308404688,406932,2000,4.509184,"{'context_length': 128, 'batch_size': 4, 'gradient_accumulation': 8, 'num_epochs': 12, 'learning_rate': 0.0005, 'n_embd': 128, 'n_layer': 2, 'n_head': 2}",221041.0,2025-12-09 14:02:59
6068,True,curriculum_seed_6068,7872.469478130341,4.834830509012596,4.689380645751953,109.72009446474577,406932,2000,4.509184,"{'context_length': 128, 'batch_size': 4, 'gradient_accumulation': 8, 'num_epochs': 12, 'learning_rate': 0.0005, 'n_embd': 128, 'n_layer': 2, 'n_head': 2}",221041.0,2025-12-10 15:39:13
